04/29/18|23:00|000052201|Brossard|-5|OZONE|PPB|22|Meteorological Service of Canada
04/29/18|23:00|000052301|Saint-Faustin|-5|OZONE|PPB|29|Meteorological Service of Canada
04/29/18|23:00|000052301|Saint-Faustin|-5|PM2.5|UG/M3|7|Meteorological Service of Canada
04/29/18|23:00|000052401|La Pêche|-5|OZONE|PPB|20|Meteorological Service of Canada
04/29/18|23:00|000053201|PÉMONCA|-5|OZONE|PPB|33|Meteorological Service of Canada
04/29/18|23:00|000053301|Deschambault|-5|OZONE|PPB|24|Meteorological Service of Canada
04/29/18|23:00|000053501|François|-5|OZONE|PPB|30|Meteorological Service of Canada
04/29/18|23:00|000053601|N.-D.-du-Rosaire|-5|OZONE|PPB|30|Meteorological Service of Canada
04/29/18|23:00|000053701|HILAIRE|-5|OZONE|PPB|27|Meteorological Service of Canada
04/29/18|23:00|000053901|Édouard|-5|OZONE|PPB|23|Meteorological Service of Canada
04/29/18|23:00|000054201|Chapais|-5|OZONE|PPB|49|Canadian Air and Precipitation Monitoring Network
04/29/18|23:00|000054703|Bécancour (Aréna)|-5|PM2.5|UG/M3|6|Meteorological Service of Canada
04/29/18|23:00|000054901|Ditton|-5|OZONE|PPB|30|Meteorological Service of Canada
04/29/18|23:00|000055001|Mont-Saint-Michel|-5|OZONE|PPB|41|Meteorological Service of Canada
04/29/18|23:00|000055501|Frelighsburg|-5|OZONE|PPB|29|Canadian Air and Precipitation Monitoring Network
04/29/18|23:00|000060104|Ottawa|-5|OZONE|PPB|27|Ontario Ministry of the Environment
04/29/18|23:00|000060104|Ottawa|-5|PM2.5|UG/M3|4|Ontario Ministry of the Environment
04/29/18|23:00|000060204|Windsor Downtown|-5|OZONE|PPB|47|Ontario Ministry of the Environment
04/29/18|23:00|000060204|Windsor Downtown|-5|PM2.5|UG/M3|5|Ontario Ministry of the Environment
04/29/18|23:00|000060304|Kingston|-5|OZONE|PPB|30|Ontario Ministry of the Environment
04/29/18|23:00|000060304|Kingston|-5|PM2.5|UG/M3|3|Ontario Ministry of the Environment
04/29/18|23:00|000060424|Toronto Downtown|-5|OZONE|PPB|48|Ontario Ministry of the Environment
04/29/18|23:00|000060424|Toronto Downtown|-5|PM2.5|UG/M3|1|Ontario Ministry of the Environment
