"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-07-02 ","2018-07-02 ","New York City Region","NY","40.8419","-73.8359","O3","151","4","Unhealthy","true",""
"2018-07-02 ","2018-07-02 ","New York City Region","NY","40.8419","-73.8359","PM2.5","85","2","Moderate","false",""
"2018-07-02 ","2018-07-03 ","New York City Region","NY","40.8419","-73.8359","O3","110","3","Unhealthy for Sensitive Groups","true",""
"2018-07-02 ","2018-07-03 ","New York City Region","NY","40.8419","-73.8359","PM2.5","60","2","Moderate","false",""
