"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-08-03 ","2018-08-03 ","New York City Region","NY","40.8419","-73.8359","O3","37","1","Good","false",""
"2018-08-03 ","2018-08-03 ","New York City Region","NY","40.8419","-73.8359","PM2.5","31","1","Good","false",""
"2018-08-03 ","2018-08-04 ","New York City Region","NY","40.8419","-73.8359","O3","42","1","Good","false",""
"2018-08-03 ","2018-08-04 ","New York City Region","NY","40.8419","-73.8359","PM2.5","46","1","Good","false",""
"2018-08-03 ","2018-08-05 ","New York City Region","NY","40.8419","-73.8359","O3","100","2","Moderate","false",""
"2018-08-03 ","2018-08-05 ","New York City Region","NY","40.8419","-73.8359","PM2.5","51","2","Moderate","false",""
"2018-08-03 ","2018-08-06 ","New York City Region","NY","40.8419","-73.8359","O3","100","2","Moderate","false",""
"2018-08-03 ","2018-08-06 ","New York City Region","NY","40.8419","-73.8359","PM2.5","51","2","Moderate","false",""
