"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2019-11-22 ","2019-11-24 ","New York City Region","NY","40.8419","-73.8359","PM2.5","28","1","Good","false",""
"2019-11-22 ","2019-11-25 ","New York City Region","NY","40.8419","-73.8359","PM2.5","51","2","Moderate","false",""
