"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-07-08 ","2018-07-08 ","New York City Region","NY","40.8419","-73.8359","O3","80","2","Moderate","false",""
"2018-07-08 ","2018-07-08 ","New York City Region","NY","40.8419","-73.8359","PM2.5","45","1","Good","false",""
"2018-07-08 ","2018-07-09 ","New York City Region","NY","40.8419","-73.8359","O3","110","3","Unhealthy for Sensitive Groups","true",""
"2018-07-08 ","2018-07-09 ","New York City Region","NY","40.8419","-73.8359","PM2.5","54","2","Moderate","false",""
