"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-05-11 ","2018-05-11 ","New York City Region","NY","40.8419","-73.8359","O3","46","1","Good","false",""
"2018-05-11 ","2018-05-11 ","New York City Region","NY","40.8419","-73.8359","PM2.5","33","1","Good","false",""
"2018-05-11 ","2018-05-12 ","New York City Region","NY","40.8419","-73.8359","O3","44","1","Good","false",""
"2018-05-11 ","2018-05-12 ","New York City Region","NY","40.8419","-73.8359","PM2.5","28","1","Good","false",""
"2018-05-11 ","2018-05-13 ","New York City Region","NY","40.8419","-73.8359","O3","44","1","Good","false",""
"2018-05-11 ","2018-05-13 ","New York City Region","NY","40.8419","-73.8359","PM2.5","31","1","Good","false",""
"2018-05-11 ","2018-05-14 ","New York City Region","NY","40.8419","-73.8359","O3","47","1","Good","false",""
"2018-05-11 ","2018-05-14 ","New York City Region","NY","40.8419","-73.8359","PM2.5","43","1","Good","false",""
