"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2019-08-21 ","2019-08-21 ","New York City Region","NY","40.8419","-73.8359","O3","63","2","Moderate","false",""
"2019-08-21 ","2019-08-21 ","New York City Region","NY","40.8419","-73.8359","PM2.5","51","2","Moderate","false",""
"2019-08-21 ","2019-08-22 ","New York City Region","NY","40.8419","-73.8359","O3","101","3","Unhealthy for Sensitive Groups","false",""
"2019-08-21 ","2019-08-22 ","New York City Region","NY","40.8419","-73.8359","PM2.5","50","1","Good","true",""
