"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-03-16 ","2018-03-18 ","New York City Region","NY","40.8419","-73.8359","PM2.5","49","1","Good","false",""
"2018-03-16 ","2018-03-19 ","New York City Region","NY","40.8419","-73.8359","PM2.5","50","1","Good","false",""
