"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-10-26 ","2018-10-26 ","New York City Region","NY","40.8419","-73.8359","PM2.5","39","1","Good","false",""
"2018-10-26 ","2018-10-27 ","New York City Region","NY","40.8419","-73.8359","PM2.5","20","1","Good","false",""
"2018-10-26 ","2018-10-28 ","New York City Region","NY","40.8419","-73.8359","PM2.5","27","1","Good","false",""
"2018-10-26 ","2018-10-29 ","New York City Region","NY","40.8419","-73.8359","PM2.5","32","1","Good","false",""
