"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2019-08-23 ","2019-08-23 ","New York City Region","NY","40.8419","-73.8359","O3","28","1","Good","false",""
"2019-08-23 ","2019-08-23 ","New York City Region","NY","40.8419","-73.8359","PM2.5","33","1","Good","false",""
"2019-08-23 ","2019-08-24 ","New York City Region","NY","40.8419","-73.8359","O3","33","1","Good","false",""
"2019-08-23 ","2019-08-24 ","New York City Region","NY","40.8419","-73.8359","PM2.5","33","1","Good","false",""
"2019-08-23 ","2019-08-25 ","New York City Region","NY","40.8419","-73.8359","O3","33","1","Good","false",""
"2019-08-23 ","2019-08-25 ","New York City Region","NY","40.8419","-73.8359","PM2.5","33","1","Good","false",""
"2019-08-23 ","2019-08-26 ","New York City Region","NY","40.8419","-73.8359","O3","38","1","Good","false",""
"2019-08-23 ","2019-08-26 ","New York City Region","NY","40.8419","-73.8359","PM2.5","43","1","Good","false",""
