"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-06-27 ","2018-06-27 ","New York City Region","NY","40.8419","-73.8359","O3","39","1","Good","false",""
"2018-06-27 ","2018-06-27 ","New York City Region","NY","40.8419","-73.8359","PM2.5","23","1","Good","false",""
"2018-06-27 ","2018-06-28 ","New York City Region","NY","40.8419","-73.8359","O3","49","1","Good","false",""
"2018-06-27 ","2018-06-28 ","New York City Region","NY","40.8419","-73.8359","PM2.5","38","1","Good","false",""
