"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-12-10 ","2018-12-10 ","New York City Region","NY","40.8419","-73.8359","PM2.5","51","2","Moderate","false",""
"2018-12-10 ","2018-12-11 ","New York City Region","NY","40.8419","-73.8359","PM2.5","65","2","Moderate","false",""
