"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-07-26 ","2018-07-26 ","New York City Region","NY","40.8419","-73.8359","O3","51","2","Moderate","false",""
"2018-07-26 ","2018-07-26 ","New York City Region","NY","40.8419","-73.8359","PM2.5","46","1","Good","false",""
"2018-07-26 ","2018-07-27 ","New York City Region","NY","40.8419","-73.8359","O3","71","2","Moderate","false",""
"2018-07-26 ","2018-07-27 ","New York City Region","NY","40.8419","-73.8359","PM2.5","54","2","Moderate","false",""
