"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2019-09-19 ","2019-09-19 ","New York City Region","NY","40.8419","-73.8359","O3","38","1","Good","false",""
"2019-09-19 ","2019-09-19 ","New York City Region","NY","40.8419","-73.8359","PM2.5","33","1","Good","false",""
"2019-09-19 ","2019-09-20 ","New York City Region","NY","40.8419","-73.8359","O3","43","1","Good","false",""
"2019-09-19 ","2019-09-20 ","New York City Region","NY","40.8419","-73.8359","PM2.5","48","1","Good","false",""
