"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2017-12-29 ","2018-01-01 ","New York City Region","NY","40.8419","-73.8359","PM2.5","48","1","Good","false",""
"2017-12-29 ","2018-01-02 ","New York City Region","NY","40.8419","-73.8359","PM2.5","48","1","Good","false",""
