"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-06-18 ","2018-06-18 ","New York City Region","NY","40.8419","-73.8359","O3","115","3","Unhealthy for Sensitive Groups","true",""
"2018-06-18 ","2018-06-18 ","New York City Region","NY","40.8419","-73.8359","PM2.5","64","2","Moderate","false",""
"2018-06-18 ","2018-06-19 ","New York City Region","NY","40.8419","-73.8359","O3","45","1","Good","false",""
"2018-06-18 ","2018-06-19 ","New York City Region","NY","40.8419","-73.8359","PM2.5","47","1","Good","false",""
