"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-06-01 ","2018-06-03 ","New York City Region","NY","40.8419","-73.8359","O3","45","1","Good","false",""
"2018-06-01 ","2018-06-03 ","New York City Region","NY","40.8419","-73.8359","PM2.5","24","1","Good","false",""
"2018-06-01 ","2018-06-04 ","New York City Region","NY","40.8419","-73.8359","O3","43","1","Good","false",""
"2018-06-01 ","2018-06-04 ","New York City Region","NY","40.8419","-73.8359","PM2.5","22","1","Good","false",""
