"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-05-08 ","2018-05-08 ","New York City Region","NY","40.8419","-73.8359","O3","49","1","Good","false",""
"2018-05-08 ","2018-05-08 ","New York City Region","NY","40.8419","-73.8359","PM2.5","49","1","Good","false",""
"2018-05-08 ","2018-05-09 ","New York City Region","NY","40.8419","-73.8359","O3","49","1","Good","false",""
"2018-05-08 ","2018-05-09 ","New York City Region","NY","40.8419","-73.8359","PM2.5","55","2","Moderate","false",""
