"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-06-12 ","2018-06-12 ","New York City Region","NY","40.8419","-73.8359","O3","59","2","Moderate","false",""
"2018-06-12 ","2018-06-12 ","New York City Region","NY","40.8419","-73.8359","PM2.5","44","1","Good","false",""
"2018-06-12 ","2018-06-13 ","New York City Region","NY","40.8419","-73.8359","O3","49","1","Good","false",""
"2018-06-12 ","2018-06-13 ","New York City Region","NY","40.8419","-73.8359","PM2.5","45","1","Good","false",""
