"DateIssue","DateForecast","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName","ActionDay","Discussion"
"2018-04-17 ","2018-04-17 ","New York City Region","NY","40.8419","-73.8359","O3","39","1","Good","false",""
"2018-04-17 ","2018-04-17 ","New York City Region","NY","40.8419","-73.8359","PM2.5","28","1","Good","false",""
"2018-04-17 ","2018-04-18 ","New York City Region","NY","40.8419","-73.8359","O3","45","1","Good","false",""
"2018-04-17 ","2018-04-18 ","New York City Region","NY","40.8419","-73.8359","PM2.5","33","1","Good","false",""
