,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
56,2019-09-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,18,1,Good
57,2018-07-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,51,2,Moderate
58,2018-07-11 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate
59,2018-07-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,112,3,Unhealthy for Sensitive Groups
60,2018-07-09 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good
61,2018-02-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,26,1,Good
62,2018-02-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good
63,2018-02-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,9,1,Good
64,2018-04-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,39,1,Good
65,2018-04-16 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good
66,2019-01-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
67,2019-01-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good
68,2019-01-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
69,2019-10-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,34,1,Good
70,2019-10-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,20,1,Good
71,2019-10-23 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,9,1,Good
72,2018-09-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,74,2,Moderate
73,2018-09-06 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,60,2,Moderate
74,2018-09-28 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,10,1,Good
75,2018-02-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,35,1,Good
76,2018-02-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,35,1,Good
77,2018-02-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,11,1,Good
