date,parameter,units,value_min,value_mean,value_max,value_std
05/29/18,PM2.5,UG/M3,-0.4,9.391176470588233,30.5,5.651619985571887
05/30/18,OZONE,PPB,1.0,24.144144144144143,57.0,12.88187369689169
05/30/18,PM2.5,UG/M3,-4.8,5.530097087378641,19.5,5.283057779612406
05/31/18,OZONE,PPB,6.0,23.35,37.0,7.42769063944468
05/31/18,PM2.5,UG/M3,-4.4,5.1677083333333345,13.5,3.744203052836825
06/01/18,OZONE,PPB,1.0,15.533333333333333,40.0,8.760044255033192
06/01/18,PM2.5,UG/M3,-4.4,7.077083333333334,25.7,5.908242164970066
06/02/18,OZONE,PPB,0.0,31.915254237288135,60.0,16.15288932963681
06/02/18,PM2.5,UG/M3,-4.0,8.02408376963351,21.2,3.750851983679445
06/03/18,OZONE,PPB,14.0,23.319327731092436,51.0,7.520517441976441
06/03/18,PM2.5,UG/M3,-3.5,2.2305263157894752,13.8,3.3564775465460563
06/04/18,OZONE,PPB,4.0,24.353448275862068,40.0,7.130161666982128
06/04/18,PM2.5,UG/M3,-4.8,1.1443820224719101,9.9,3.0855224008265867
06/05/18,OZONE,PPB,0.0,24.158333333333335,53.0,16.624369999225493
06/05/18,PM2.5,UG/M3,-4.0,4.416842105263157,14.8,2.871503952371008
06/06/18,OZONE,PPB,-1.0,21.810344827586206,36.0,7.223047403492757
06/06/18,PM2.5,UG/M3,-1.8,3.5121693121693127,12.9,2.6368925241554426
06/07/18,OZONE,PPB,7.0,23.425,36.0,6.918083112364277
06/07/18,PM2.5,UG/M3,-2.3,2.779558011049723,9.8,2.4196583374987344
06/08/18,OZONE,PPB,3.0,28.466666666666665,60.0,16.347555689790823
06/08/18,PM2.5,UG/M3,-1.1,5.31842105263158,15.4,4.0729235799905865
06/09/18,OZONE,PPB,0.0,39.61864406779661,78.0,15.612245627402526
06/09/18,PM2.5,UG/M3,0.0,9.943386243386247,21.7,5.118543796825667
06/10/18,OZONE,PPB,6.0,30.933333333333334,60.0,9.884826954558621
06/10/18,PM2.5,UG/M3,-2.2,6.825263157894742,21.8,5.887848996314135
06/11/18,OZONE,PPB,2.0,27.04385964912281,50.0,13.127280485153031
06/11/18,PM2.5,UG/M3,-2.4,3.4213903743315504,11.9,2.6094065144283785
06/12/18,OZONE,PPB,-1.0,24.78813559322034,46.0,13.90250035613729
06/12/18,PM2.5,UG/M3,-1.4,3.6518518518518532,12.7,2.440757481668009
06/13/18,OZONE,PPB,6.0,26.419642857142858,48.0,7.370061660549988
06/13/18,PM2.5,UG/M3,-1.5,4.173958333333334,14.8,3.235414141715379
06/14/18,OZONE,PPB,16.0,38.5,49.0,6.7425651553358845
06/14/18,PM2.5,UG/M3,-3.3,4.484491978609626,18.1,4.354261925739661
06/15/18,OZONE,PPB,16.0,30.783333333333335,49.0,6.9259994070974935
06/15/18,PM2.5,UG/M3,-4.4,2.4521505376344077,9.4,2.3711374164071968
06/15/19,PM2.5,UG/M3,1.9,7.855555555555556,11.6,3.2630932836463282
06/16/18,OZONE,PPB,2.0,28.491666666666667,59.0,16.013647453403753
06/16/18,PM2.5,UG/M3,-3.7,5.200523560209425,14.5,3.2921996707080834
06/16/19,PM2.5,UG/M3,6.7,9.326315789473686,11.9,1.4098235134871624
06/17/18,OZONE,PPB,4.0,42.28333333333333,90.0,23.035662280357336
06/17/18,PM2.5,UG/M3,0.1,9.294240837696336,23.5,3.8889612095083113
06/17/19,OZONE,PPB,7.0,24.15277777777778,39.0,6.796145805460377
06/17/19,PM10,UG/M3,12.0,16.473684210526315,24.0,3.1687435479247323
06/17/19,PM2.5,UG/M3,-3.9,6.51338028169014,17.2,3.2349647607503194
06/18/18,OZONE,PPB,15.0,49.43103448275862,86.0,19.34187803386893
06/18/18,PM2.5,UG/M3,5.5,13.547643979057598,32.8,5.5743002580878995
06/18/19,OZONE,PPB,4.0,29.75,48.0,10.244382285967886
06/18/19,PM10,UG/M3,12.0,18.75,36.0,6.215338669984821
06/18/19,PM2.5,UG/M3,-2.6,8.678947368421053,23.3,4.293008829717228
06/19/18,OZONE,PPB,17.0,36.88392857142857,68.0,8.870180366971114
06/19/18,PM2.5,UG/M3,-4.9,6.753714285714287,29.2,6.41019082942328
06/19/19,OZONE,PPB,10.0,29.627659574468087,41.0,6.08361812717341
06/19/19,PM10,UG/M3,8.0,13.75,20.0,3.193063133405451
06/19/19,PM2.5,UG/M3,-3.2,2.8868852459016403,11.1,2.7962971243482446
06/20/18,OZONE,PPB,4.0,32.70434782608696,77.0,14.251484325921663
06/20/18,PM2.5,UG/M3,-2.8,3.803664921465969,11.8,2.998725549080874
06/20/19,OZONE,PPB,4.0,21.397435897435898,42.0,8.000551512791136
