,DateIssue,DateForecast,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,ActionDay,Discussion
742,2018-07-16 ,2018-07-17 ,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,False,
743,2019-07-15 ,2019-07-15 ,New York City Region,NY,40.8419,-73.8359,O3,50,1,Good,False,
744,2019-07-15 ,2019-07-15 ,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good,False,
745,2019-07-15 ,2019-07-16 ,New York City Region,NY,40.8419,-73.8359,O3,88,2,Moderate,False,
746,2019-07-15 ,2019-07-16 ,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,False,
747,2018-03-15 ,2018-03-15 ,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good,False,
748,2018-03-15 ,2018-03-16 ,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good,False,
749,2019-08-19 ,2019-08-19 ,New York City Region,NY,40.8419,-73.8359,O3,87,2,Moderate,False,
750,2019-08-19 ,2019-08-19 ,New York City Region,NY,40.8419,-73.8359,PM2.5,51,2,Moderate,False,
751,2019-08-19 ,2019-08-20 ,New York City Region,NY,40.8419,-73.8359,O3,71,2,Moderate,False,
752,2019-08-19 ,2019-08-20 ,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good,False,
753,2018-05-11 ,2018-05-12 ,New York City Region,NY,40.8419,-73.8359,O3,44,1,Good,False,
754,2018-05-11 ,2018-05-12 ,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good,False,
755,2018-05-11 ,2018-05-13 ,New York City Region,NY,40.8419,-73.8359,O3,44,1,Good,False,
756,2018-05-11 ,2018-05-13 ,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good,False,
757,2018-05-11 ,2018-05-14 ,New York City Region,NY,40.8419,-73.8359,O3,47,1,Good,False,
758,2018-05-11 ,2018-05-14 ,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good,False,
759,2018-03-07 ,2018-03-07 ,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good,False,
760,2018-03-07 ,2018-03-08 ,New York City Region,NY,40.8419,-73.8359,PM2.5,47,1,Good,False,
761,2018-09-13 ,2018-09-13 ,New York City Region,NY,40.8419,-73.8359,O3,-1,1,Good,False,
762,2018-09-13 ,2018-09-14 ,New York City Region,NY,40.8419,-73.8359,O3,-1,1,Good,False,
763,2019-07-09 ,2019-07-09 ,New York City Region,NY,40.8419,-73.8359,O3,68,2,Moderate,False,
764,2019-07-09 ,2019-07-09 ,New York City Region,NY,40.8419,-73.8359,PM2.5,55,2,Moderate,False,
765,2019-07-09 ,2019-07-10 ,New York City Region,NY,40.8419,-73.8359,O3,101,3,Unhealthy for Sensitive Groups,True,
766,2019-07-09 ,2019-07-10 ,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,False,
767,2019-06-20 ,2019-06-20 ,New York City Region,NY,40.8419,-73.8359,O3,47,1,Good,False,
768,2019-06-20 ,2019-06-20 ,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,False,
769,2019-06-20 ,2019-06-21 ,New York City Region,NY,40.8419,-73.8359,O3,40,1,Good,False,
770,2019-06-20 ,2019-06-21 ,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good,False,
771,2018-02-02 ,2018-02-02 ,New York City Region,NY,40.8419,-73.8359,PM2.5,41,1,Good,False,
772,2018-02-02 ,2018-02-03 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
773,2018-02-02 ,2018-02-04 ,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,False,
774,2018-02-02 ,2018-02-05 ,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,False,
775,2019-02-01 ,2019-02-01 ,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate,False,
776,2019-02-01 ,2019-02-02 ,New York City Region,NY,40.8419,-73.8359,PM2.5,63,2,Moderate,False,
777,2019-02-01 ,2019-02-03 ,New York City Region,NY,40.8419,-73.8359,PM2.5,69,2,Moderate,False,
778,2019-02-01 ,2019-02-04 ,New York City Region,NY,40.8419,-73.8359,PM2.5,70,2,Moderate,False,
779,2019-01-17 ,2019-01-17 ,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,False,
780,2019-01-17 ,2019-01-18 ,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,False,
