,date,time,aqsid,site,gmtoffset,parameter,units,value,source
2486381,11/15/19,12:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,13.3,New York Dept. of Environmental Conservation
2486385,11/15/19,12:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,14.5,New York Dept. of Environmental Conservation
2486386,11/15/19,12:00,360610134,Division Street,-5.0,PM2.5,UG/M3,12.8,New York Dept. of Environmental Conservation
2486387,11/15/19,12:00,360610135,CCNY,-5.0,OZONE,PPB,2.0,New York Dept. of Environmental Conservation
2486388,11/15/19,12:00,360610135,CCNY,-5.0,PM2.5,UG/M3,13.6,New York Dept. of Environmental Conservation
2486397,11/15/19,12:00,360810124,Queens,-5.0,OZONE,PPB,2.0,New York Dept. of Environmental Conservation
2486398,11/15/19,12:00,360810124,Queens,-5.0,PM2.5,UG/M3,15.1,New York Dept. of Environmental Conservation
2486399,11/15/19,12:00,360810125,Queens Near-road,-5.0,PM2.5,UG/M3,12.2,New York Dept. of Environmental Conservation
2486400,11/15/19,12:00,360850111,Fresh Kills,-5.0,PM2.5,UG/M3,12.6,New York Dept. of Environmental Conservation
2501378,10/17/19,01:00,360050110,Bronx - IS52,-5.0,OZONE,PPB,42.0,New York Dept. of Environmental Conservation
2501379,10/17/19,01:00,360050110,Bronx - IS52,-5.0,PM10,UG/M3,13.0,New York Dept. of Environmental Conservation
2501380,10/17/19,01:00,360050112,Bronx - IS74,-5.0,PM2.5,UG/M3,-0.8,New York Dept. of Environmental Conservation
2501381,10/17/19,01:00,360050133,Pfizer Lab,-5.0,OZONE,PPB,45.0,New York Dept. of Environmental Conservation
2501403,10/17/19,01:00,360470052,Bklyn - PS 314,-5.0,PM2.5,UG/M3,-0.1,New York Dept. of Environmental Conservation
2501404,10/17/19,01:00,360470118,Bklyn - PS274,-5.0,PM2.5,UG/M3,-1.0,New York Dept. of Environmental Conservation
2501408,10/17/19,01:00,360610115,Manhattan/IS143,-5.0,PM2.5,UG/M3,-1.7,New York Dept. of Environmental Conservation
2501409,10/17/19,01:00,360610134,Division Street,-5.0,PM2.5,UG/M3,-1.1,New York Dept. of Environmental Conservation
2501410,10/17/19,01:00,360610135,CCNY,-5.0,OZONE,PPB,42.0,New York Dept. of Environmental Conservation
2501419,10/17/19,01:00,360810124,Queens,-5.0,OZONE,PPB,48.0,New York Dept. of Environmental Conservation
