,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
58,2018-03-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,35,1,Good
59,2018-03-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,24,1,Good
60,2018-02-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,26,1,Good
61,2018-02-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good
62,2018-02-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,9,1,Good
63,2018-07-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,32,1,Good
64,2018-07-22 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,26,1,Good
65,2018-10-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,28,1,Good
66,2018-10-21 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good
67,2019-11-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,27,1,Good
68,2019-11-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good
69,2019-11-24 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,8,1,Good
70,2019-09-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,50,1,Good
71,2019-09-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,35,1,Good
72,2019-09-04 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,18,1,Good
73,2019-11-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,26,1,Good
74,2019-11-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,41,1,Good
75,2019-11-05 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM10,18,1,Good
76,2018-02-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,OZONE,35,1,Good
77,2018-02-13 ,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,35,1,Good
