"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2018-04-13 ","0","EST","New York City Region","NY","40.8419","-73.8359","OZONE","87","2","Moderate"
"2018-04-13 ","0","EST","New York City Region","NY","40.8419","-73.8359","PM2.5","63","2","Moderate"
