"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2019-01-04 ","0","EST","New York City Region","NY","40.8419","-73.8359","OZONE","19","1","Good"
"2019-01-04 ","0","EST","New York City Region","NY","40.8419","-73.8359","PM2.5","59","2","Moderate"
"2019-01-04 ","0","EST","New York City Region","NY","40.8419","-73.8359","PM10","21","1","Good"
